url,name,category,price,availability,average_rating,rating_count,imgUrl,description,content,pro/cal,pri/we,html_path,last_upd_time,weight,proteins,fats,carbohydrates,calories,fetchErr
https://www.ozon.ru/product/myata-svezhaya-50-g-1712804324/,Мята свежая 50 г,"Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Зелень, пряные травы",123,1,4.8,848,https://cdn1.ozone.ru/s3/multimedia-1-8/7557616376.jpg,"Мятный аромат активизирует работу мозга, избавляет от бессоницы и расслабляет после тяжелого дня.",Мята,0,2.46,,2025-06-13 10:44:37,50,,,,14,
https://www.ozon.ru/product/griby-shampinony-300-g-rezanye-557427925/,"Грибы шампиньоны 300 г, резаные","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Грибы",139,1,4.9,4845,https://cdn1.ozone.ru/s3/multimedia-1-v/7349572111.jpg,"Грибы Шампиньоны, резанные",,0.07272727272727274,0.4633333333333333,,2025-06-13 10:44:38,300,1.6,0.9,2.1,22,
https://www.ozon.ru/product/salat-frillis-100-g-eko-kultura-1062698934/,"Салат Фриллис 100 г, ЭКО-культура","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Салат#ЭКО-культура",103,1,4.9,126,https://cdn1.ozone.ru/s3/multimedia-1-w/7542324104.jpg,"Салат Фриллис ""ЭКО-культура"" отличается хрустящей, сочной текстурой, приятным нежным вкусом. Помимо пользы для здоровья он порадует гурманов своим вкусовым сочетанием. Салат Фрилис ""ЭКО-культура"" идеально подходит для приготовления легких салатов, гамбургеров, чизбургеров, в качестве дополнения к любому блюду. Инновационная упаковка не дает влаге испаряться и позволяет сохранить продукт свежим. Салаты ""ЭКО-кульура"" произведены биологическим методом выращивания (экологически чистые овощи) экспертом производства тепличных овощей",Салат свежий,0.05405405405405406,1.03,,2025-06-13 10:44:38,100,2,0.1,7,37,
https://www.ozon.ru/product/shchavel-50-g-1062699376/,Щавель 50 г,"Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Зелень, пряные травы",47,1,4.7,589,https://cdn1.ozone.ru/s3/multimedia-1-n/7039871651.jpg,"Польза щавеля заключается в наличии большого количества витаминов и минералов. Он является прекрасным источником аскорбиновой кислоты, которая необходима для увеличения защитных функций организма, а также она способствует целостности кровеносных сосудов, улучшает мозговую деятельность и работу всего организма.",Щавель,0.06818181818181818,0.94,,2025-06-13 10:44:38,50,1.5,0.3,2.9,22,
https://www.ozon.ru/product/nabor-dlya-okroshki-200-g-167063216/,"Набор для окрошки, 200 г","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Зелень, пряные травы",119,1,4.9,3027,https://cdn1.ozone.ru/s3/multimedia-1-h/7544681189.jpg,"Набор для приготовления традиционного русского блюда - окрошки. В него входит лук зеленый, укроп и редис.",,0.0,0.595,,2025-06-13 10:44:38,200,0,0.1,4,20.65,
https://www.ozon.ru/product/morkov-mytaya-1-kg-hrustyashchaya-601529261/,"Морковь мытая 1 кг, хрустящая","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Корнеплоды",109,1,4.9,30579,https://cdn1.ozone.ru/s3/multimedia-c/6237036684.jpg,"Морковь мытая, 1000 г",Морковь мытая,0.040625,0.109,,2025-06-13 10:44:38,1000,1.3,0.1,6.9,32,
https://www.ozon.ru/product/greypfrut-1-kg-355987021/,"Грейпфрут, 1 кг","Ozon fresh#Овощи, фрукты, зелень#Фрукты и ягоды#Цитрусовые",270,1,4.9,2825,https://cdn1.ozone.ru/s3/multimedia-3/6126052815.jpg,,Грейпфрут,0.021875,0.27,,2025-06-13 10:44:39,1000,0.7,0.1,7.3,32,
https://www.ozon.ru/product/apelsin-sladkiy-500-g-425637852/,"Апельсин, сладкий, 500 г","Ozon fresh#Овощи, фрукты, зелень#Фрукты и ягоды#Цитрусовые",109,1,4.9,120,https://cdn1.ozone.ru/s3/multimedia-l/6085820349.jpg,"Апельсин, 1,5 кг",,0,0.218,,2025-06-13 10:44:39,500,,,,,
https://www.ozon.ru/product/griby-veshenki-300-g-143170393/,"Грибы Вешенки, 300 г","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Грибы",210,1,4.9,3467,https://cdn1.ozone.ru/s3/multimedia-1-z/7348456259.jpg,"Культивируемые грибы. Имеют упругие шляпки и очень плотные ножки. Отлично   подходят для жарки, приготовления теплых салатов, жульенов и соусов, первых   блюд и горячего. Подходят в качестве начинки в пироги, вареники, для   фаршировки мяса, птицы и рыбы.      Уважаемые клиенты! Обратите, пожалуйста, внимание: изображение товара на сайте может отличаться от фактического вида товара. Фото представлено для визуального восприятия товара.",Грибы,0.06578947368421052,0.7,,2025-06-13 10:44:39,300,2.5,0.3,6.5,38,
https://www.ozon.ru/product/tomaty-slivovidnye-600-g-eko-kultura-937759300/,"Томаты сливовидные 600 г, Эко-культура","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Помидоры#ЭКО-культура",139,1,4.8,578,https://cdn1.ozone.ru/s3/multimedia-1-l/7349589921.jpg,"Томаты сливовидные, Эко-культура, 600 г",Томаты,0,0,,2025-06-13 10:44:39,,,,,,
https://www.ozon.ru/product/sliva-chernaya-printsessa-500-g-peru-293814121/,"Слива Черная принцесса 500 г, Перу","Ozon fresh#Овощи, фрукты, зелень#Фрукты и ягоды#Персики, сливы, нектарины и абрикосы",279,1,4.6,569,https://cdn1.ozone.ru/s3/multimedia-1-w/7552180040.jpg,"Слива ароматная, свежая. ",,0,0.558,,2025-06-13 10:44:40,500,,,,,
https://www.ozon.ru/product/pitahayya-s-beloy-myakotyu-mangoed-1-sht-464954332/,"Питахайя с белой мякотью, MANGOED, 1 шт","Ozon fresh#Овощи, фрукты, зелень#Фрукты и ягоды#Экзотические фрукты",269,0,4.8,597,https://cdn1.ozone.ru/s3/multimedia-1-u/7552180182.jpg,"Питахайя, 1 шт",Питахайя красная,0,0.8966666666666666,,2025-06-13 10:44:40,300,,,,50,
https://www.ozon.ru/product/granat-peru-1-sht-448154792/,"Гранат Перу, 1 шт","Ozon fresh#Овощи, фрукты, зелень#Фрукты и ягоды#Гранат, хурма",267,1,4.7,2781,https://cdn1.ozone.ru/s3/multimedia-1-n/7348456355.jpg,,Гранат,0,0,,2025-06-13 10:44:40,,,,,,
https://www.ozon.ru/product/kabachki-gruntovye-500-800-g-1630632942/,"Кабачки грунтовые, 500- 800 г","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Кабачки, баклажаны",89,1,4.9,617,https://cdn1.ozone.ru/s3/multimedia-1-g/7557609472.jpg,,Кабачки грунтовые свежие,0,0,,2025-06-13 10:44:40,,,,,,
https://www.ozon.ru/product/salatnaya-smes-rukkola-i-radichcho-75-g-salaty-s-polya-553721723/,"Салатная смесь ""Руккола и радиччо"" 75 г, Салаты с поля","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Салат#Белая Дача",119,1,4.9,2724,https://cdn1.ozone.ru/s3/multimedia-1-o/7349574408.jpg,"Салатная смесь Салаты с поля ""Руккола и радиччо"", 75 г",,0.10714285714285714,0,,2025-06-13 10:44:40,,1.5,0.2,2,14,
https://www.ozon.ru/product/salat-rukkola-75-salaty-s-polya-553721715/,"Салат Руккола 75, Салаты с поля","Ozon fresh#Овощи, фрукты, зелень#Овощи и зелень#Салат#Белая Дача",127,1,4.9,1415,https://cdn1.ozone.ru/s3/multimedia-1-6/7349609670.jpg,"Салат Салаты с поля ""Руккола"", 75 г",Руккола,0,0,,2025-06-13 10:44:41,,1.5,0.2,2,,
